Strain,Taxa_ID,GH1,GH3,GH5,GH6,GH8,bcsZ,GH9,GH12,GH44,GH45,GH48
Geobacillus sp. G11MC16,495036,2,3,0,0,0,0,0,0,0,0,0
Geobacillus sp. WCH70,471223,0,2,0,0,0,0,0,0,0,0,0
Geobacillus sp. Y4.1MC1,581103,3,2,0,0,0,0,0,0,0,0,0
Geobacillus sp. Y412MC10,481743,0,10,3,0,0,0,0,0,0,0,0
Geobacillus sp. Y412MC52,550542,2,0,0,0,0,0,0,0,0,0,0
Geobacillus sp. Y412MC61,544556,3,0,0,0,0,0,0,0,0,0,0
Geobacillus thermodenitrificans NG80-2,420246,3,3,0,0,0,0,0,0,0,0,0
Geobacillus thermoglucosidasius C56-YS93,634956,1,2,0,0,0,0,0,0,0,0,0
Geobacillus thermoleovorans CCB_US3_UF5,1111068,3,0,0,0,0,0,0,0,0,0,0
Granulicatella adiacens ATCC 49175,638301,1,0,0,0,0,0,0,0,0,0,0
Granulicatella elegans ATCC 700633,626369,0,0,0,0,0,0,0,0,0,0,0
Halanaerobium hydrogeniformans,656519,1,1,0,0,0,0,0,0,0,0,0
Halanaerobium praevalens DSM 2228,572479,0,0,0,0,0,0,0,0,0,0,0
Halothermothrix orenii H 168,373903,2,6,0,0,0,0,0,0,0,0,0
Helcococcus kunzii ATCC 51366,883114,3,0,0,0,0,0,0,0,0,0,0
Heliobacterium modesticaldum Ice1,498761,0,0,0,0,0,0,0,0,0,0,0
Holdemania filiformis DSM 12042,545696,38,2,0,0,0,0,0,0,0,0,0
Johnsonella ignava ATCC 51276,679200,0,0,0,0,0,0,0,0,0,0,0
Lachnospiraceae bacterium 1_1_57FAA,658081,3,0,0,0,0,0,0,0,0,0,0
Lachnospiraceae bacterium 1_4_56FAA,658655,0,9,0,0,0,0,0,0,0,0,0
Lachnospiraceae bacterium 2_1_46FAA,742723,0,0,0,0,0,0,0,0,0,0,0
Lachnospiraceae bacterium 2_1_58FAA,658082,10,5,0,0,0,0,0,0,0,0,0
Lachnospiraceae bacterium 3_1_46FAA,665950,3,0,0,0,0,0,0,0,0,0,0
Lachnospiraceae bacterium 3_1_57FAA_CT1,658086,1,13,1,0,0,0,0,0,0,0,0
Lachnospiraceae bacterium 4_1_37FAA,552395,3,7,0,0,0,0,0,0,0,0,0
Lachnospiraceae bacterium 5_1_57FAA,658085,0,0,0,0,0,0,0,0,0,0,0
Lachnospiraceae bacterium 5_1_63FAA,658089,2,1,0,0,0,0,0,0,0,0,0
Lachnospiraceae bacterium 6_1_63FAA,658083,0,2,0,0,0,0,0,0,0,0,0
Lachnospiraceae bacterium 7_1_58FAA,658087,0,1,0,0,0,0,0,0,0,0,0
Lachnospiraceae bacterium 8_1_57FAA,665951,3,0,0,0,0,0,0,0,0,0,0
Lachnospiraceae bacterium 9_1_43BFAA,658088,0,2,0,0,0,0,0,0,0,0,0
Lachnospiraceae bacterium ACC2,796942,0,1,0,0,0,0,0,0,0,0,0
Lachnospiraceae bacterium oral taxon 082 str. F0431,861454,1,2,0,0,0,0,0,0,0,0,0
Lachnospiraceae oral taxon 107 str. F0167,575593,1,1,0,0,0,0,0,0,0,0,0
Lactobacillus acidipiscis KCTC 13900,1046599,5,0,0,0,0,0,0,0,0,0,0
Lactobacillus acidophilus 30SC,891391,9,2,0,0,1,0,0,0,0,0,0
Lactobacillus acidophilus ATCC 4796,525306,16,0,0,0,1,0,0,0,0,0,0
Lactobacillus acidophilus NCFM,272621,21,0,0,0,1,0,0,0,0,0,0
Lactobacillus amylolyticus DSM 11664,585524,2,1,0,0,0,0,0,0,0,0,0
Lactobacillus amylovorus GRL 1112,695560,11,1,0,0,1,0,0,0,0,0,0
Lactobacillus amylovorus GRL1118,695562,4,1,0,0,1,0,0,0,0,0,0
Lactobacillus animalis KCTC 3501,930942,4,1,0,0,0,0,0,0,0,0,0
Lactobacillus antri DSM 16041,525309,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus brevis ATCC 367,387344,1,1,0,0,0,0,0,0,0,0,0
Lactobacillus brevis subsp. gravesensis ATCC 27305,525310,0,2,0,0,0,0,0,0,0,0,0
Lactobacillus buchneri ATCC 11577,525318,0,2,0,0,0,0,0,0,0,0,0
Lactobacillus buchneri NRRL B-30929,511437,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus casei ATCC 334,321967,6,3,0,0,0,0,0,0,0,0,0
Lactobacillus casei BD-II,998820,7,3,0,0,0,0,0,0,0,0,0
Lactobacillus casei BL23,543734,7,3,0,0,0,0,0,0,0,0,0
Lactobacillus casei LC2W,999378,8,3,0,0,0,0,0,0,0,0,0
Lactobacillus casei str. Zhang,498216,5,3,0,0,0,0,0,0,0,0,0
Lactobacillus coleohominis 101-4-CHN,575594,2,2,0,0,0,0,0,0,0,0,0
Lactobacillus coryniformis subsp. coryniformis KCTC 3167,913848,4,0,0,0,0,0,0,0,0,0,0
Lactobacillus coryniformis subsp. torquens KCTC 3535,929500,4,0,0,0,0,0,0,0,0,0,0
Lactobacillus crispatus 125-2-CHN,575595,4,0,0,0,1,0,0,0,0,0,0
Lactobacillus crispatus 214-1,679188,5,0,0,0,1,0,0,0,0,0,0
Lactobacillus crispatus CTV-05,440496,4,0,0,0,2,0,0,0,0,0,0
Lactobacillus crispatus JV-V01,491076,3,0,0,0,1,0,0,0,0,0,0
Lactobacillus crispatus MV-1A-US,575596,3,0,0,0,1,0,0,0,0,0,0
Lactobacillus crispatus MV-3A-US,575597,3,0,0,0,1,0,0,0,0,0,0
Lactobacillus crispatus SJ-3C-US,575598,1,0,0,0,1,0,0,0,0,0,0
Lactobacillus crispatus ST1,748671,13,0,0,0,1,0,0,0,0,0,0
Lactobacillus curvatus CRL 705,1074451,3,1,0,0,0,0,0,0,0,0,0
Lactobacillus delbrueckii subsp. bulgaricus 2038,353496,5,0,0,0,0,0,0,0,0,0,0
Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842,390333,3,0,0,0,0,0,0,0,0,0,0
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365,321956,4,0,0,0,0,0,0,0,0,0,0
Lactobacillus delbrueckii subsp. bulgaricus ND02,767455,6,0,0,0,0,0,0,0,0,0,0
Lactobacillus delbrueckii subsp. bulgaricus PB2003/044-T3-4,784613,4,0,0,0,0,0,0,0,0,0,0
Lactobacillus delbrueckii subsp. lactis DSM 20072,888027,3,0,0,0,1,0,0,0,0,0,0
Lactobacillus farciminis KCTC 3681,936140,18,3,0,0,0,0,0,0,0,0,0
Lactobacillus fermentum 28-3-CHN,575599,2,2,0,0,1,0,0,0,0,0,0
Lactobacillus fermentum ATCC 14931,525325,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus fermentum CECT 5716,712938,0,1,0,0,0,0,0,0,0,0,0
Lactobacillus fermentum IFO 3956,334390,0,1,0,0,0,0,0,0,0,0,0
Lactobacillus fructivorans KCTC 3543,941770,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus gasseri 202-4,630527,20,0,0,0,1,0,0,0,0,0,0
Lactobacillus gasseri 224-1,679196,12,4,0,0,1,0,0,0,0,0,0
Lactobacillus gasseri ATCC 33323,324831,12,3,0,0,1,0,0,0,0,0,0
Lactobacillus gasseri JV-V03,525326,17,3,0,0,1,0,0,0,0,0,0
Lactobacillus gasseri MV-22,559301,12,3,0,0,1,0,0,0,0,0,0
Lactobacillus gasseri SJ-9E-US,575603,12,3,0,0,1,0,0,0,0,0,0
Lactobacillus gasseri SV-16A-US,575604,12,3,0,0,1,0,0,0,0,0,0
Lactobacillus gastricus PS3,1144300,3,0,0,0,0,0,0,0,0,0,0
Lactobacillus helveticus DPC 4571,405566,4,0,0,0,0,0,0,0,0,0,0
Lactobacillus helveticus DSM 20075,585520,4,0,0,0,0,0,0,0,0,0,0
Lactobacillus helveticus H10,767462,5,0,0,0,0,0,0,0,0,0,0
Lactobacillus helveticus R0052,880633,5,0,0,0,1,0,0,0,0,0,0
Lactobacillus hilgardii ATCC 8290,525327,0,2,0,0,0,0,0,0,0,0,0
Lactobacillus iners AB-1,713605,1,0,0,0,0,0,0,0,0,0,0
Lactobacillus iners ATCC 55195,888801,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus iners DSM 13335,525328,1,0,0,0,0,0,0,0,0,0,0
Lactobacillus iners LactinV 01V1-a,879297,2,0,0,0,0,0,0,0,0,0,0
Lactobacillus iners LactinV 03V1-b,879298,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus iners LactinV 09V1-c,879299,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus iners LactinV 11V1-d,879300,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus iners LEAF 2052A-d,879302,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus iners LEAF 2053A-b,879301,1,0,0,0,0,0,0,0,0,0,0
Lactobacillus iners LEAF 2062A-h1,879303,1,0,0,0,0,0,0,0,0,0,0
Lactobacillus iners LEAF 3008A-a,879304,1,0,0,0,0,0,0,0,0,0,0
Lactobacillus iners SPIN 1401G,879295,1,0,0,0,0,0,0,0,0,0,0
Lactobacillus iners SPIN 2503V10-D,879296,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus iners UPII 143-D,928327,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus iners UPII 60-B,928328,1,0,0,0,0,0,0,0,0,0,0
Lactobacillus jensenii 115-3-CHN,575605,5,0,0,0,0,0,0,0,0,0,0
Lactobacillus jensenii 1153,440497,5,0,0,0,0,0,0,0,0,0,0
Lactobacillus jensenii 208-1,596326,17,0,0,0,0,0,0,0,0,0,0
Lactobacillus jensenii 269-3,596325,13,0,0,0,0,0,0,0,0,0,0
Lactobacillus jensenii 27-2-CHN,575606,6,0,0,0,0,0,0,0,0,0,0
Lactobacillus jensenii JV-V16,525329,6,0,0,0,0,0,0,0,0,0,0
Lactobacillus jensenii SJ-7A-US,575607,11,0,0,0,0,0,0,0,0,0,0
Lactobacillus johnsonii ATCC 33200,525330,7,0,0,0,1,0,0,0,0,0,0
Lactobacillus johnsonii DPC 6026,909954,5,0,0,0,1,0,0,0,0,0,0
Lactobacillus johnsonii FI9785,633699,11,0,0,0,2,0,0,0,0,0,0
Lactobacillus johnsonii NCC 533,257314,8,0,0,0,1,0,0,0,0,0,0
Lactobacillus johnsonii pf01,1037411,5,1,0,0,1,0,0,0,0,0,0
Lactobacillus kefiranofaciens ZW3,1033837,4,0,0,0,0,0,0,0,0,0,0
Lactobacillus kisonensis F0435,797516,1,1,0,0,0,0,0,0,0,0,0
Lactobacillus malefermentans KCTC 3548,1046594,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus mali KCTC 3596,1046596,6,1,0,0,0,0,0,0,0,0,0
Lactobacillus mucosae LM1,1130798,0,1,0,0,0,0,0,0,0,0,0
Lactobacillus oris F0423,944562,2,1,0,0,0,0,0,0,0,0,0
Lactobacillus oris PB013-T2-3,908339,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus paracasei subsp. paracasei 8700:2,537973,7,3,0,0,0,0,0,0,0,0,0
Lactobacillus paracasei subsp. paracasei ATCC 25302,525337,7,3,0,0,0,0,0,0,0,0,0
Lactobacillus parafarraginis F0439,797515,0,1,0,0,0,0,0,0,0,0,0
Lactobacillus plantarum JDM1,644042,19,0,1,0,0,0,0,0,0,0,0
Lactobacillus plantarum subsp. plantarum ATCC 14917,525338,16,0,1,0,0,0,0,0,0,0,0
Lactobacillus plantarum subsp. plantarum NC8,1036177,9,0,1,0,0,0,0,0,0,0,0
Lactobacillus plantarum subsp. plantarum ST-III,889932,19,0,1,0,0,0,0,0,0,0,0
Lactobacillus plantarum WCFS1,220668,18,0,1,0,0,0,0,0,0,0,0
Lactobacillus reuteri 100-23,349123,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus reuteri ATCC 53608,927703,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus reuteri CF48-3A,525341,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus reuteri DSM 20016,557436,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus reuteri JCM 1112,557433,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus reuteri lpuph,863368,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus reuteri mlc3,863369,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus reuteri MM2-3,585517,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus reuteri MM4-1A,548485,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus reuteri SD2112,491077,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus rhamnosus ATCC 21052,1002365,3,1,0,0,0,0,0,0,0,0,0
Lactobacillus rhamnosus ATCC 8530,1088720,6,1,0,0,0,0,0,0,0,0,0
Lactobacillus rhamnosus CASL,1078018,6,1,0,0,0,0,0,0,0,0,0
Lactobacillus rhamnosus GG,568703,8,3,0,0,0,0,0,0,0,0,0
Lactobacillus rhamnosus HN001,486408,7,3,0,0,0,0,0,0,0,0,0
Lactobacillus rhamnosus Lc 705,568704,10,3,0,0,0,0,0,0,0,0,0
Lactobacillus rhamnosus LMS2-1,525361,10,3,0,0,0,0,0,0,0,0,0
Lactobacillus rhamnosus R0011,880592,4,1,0,0,0,0,0,0,0,0,0
Lactobacillus ruminis ATCC 25644,525362,4,1,0,0,0,0,0,0,0,0,0
Lactobacillus ruminis SPM0211,1040964,5,0,0,0,0,0,0,0,0,0,0
Lactobacillus sakei subsp. sakei 23K,314315,2,0,1,0,0,0,0,0,0,0,0
Lactobacillus salivarius ACS-116-V-Col5a,768728,2,0,0,0,0,0,0,0,0,0,0
Lactobacillus salivarius ATCC 11741,525364,2,1,0,0,0,0,0,0,0,0,0
Lactobacillus salivarius CECT 5713,712961,5,1,0,0,0,0,0,0,0,0,0
Lactobacillus salivarius GJ-24,1041521,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus salivarius NIAS840,1029822,1,0,0,0,0,0,0,0,0,0,0
Lactobacillus salivarius UCC118,362948,3,1,0,0,0,0,0,0,0,0,0
Lactobacillus sanfranciscensis TMW 1.1304,714313,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus sp. 7_1_47FAA,665945,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus suebicus KCTC 3549,1046595,1,1,0,0,0,0,0,0,0,0,0
Lactobacillus ultunensis DSM 16047,525365,14,0,0,0,1,0,0,0,0,0,0
Lactobacillus vaginalis ATCC 49540,525366,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus versmoldensis KCTC 3814,1046598,1,1,0,0,0,0,0,0,0,0,0
Lactobacillus vini DSM 20605,1133569,6,3,0,0,0,0,0,0,0,0,0
Lactobacillus vini JP7.8.9,1133851,9,0,0,0,0,0,0,0,0,0,0
Lactobacillus zeae KCTC 3804,1046597,5,1,0,0,0,0,0,0,0,0,0
Lactococcus garvieae 21881,998087,12,0,1,0,0,0,0,0,0,0,0
Lactococcus garvieae 8831,913847,15,0,1,0,0,0,0,0,0,0,0
Lactococcus garvieae ATCC 49156,420889,5,0,1,0,0,0,0,0,0,0,0
Lactococcus garvieae Lg2,420890,5,0,1,0,0,0,0,0,0,0,0
Lactococcus garvieae LG9,1091039,5,0,1,0,0,0,0,0,0,0,0
Lactococcus garvieae TB25,1091040,7,0,1,0,0,0,0,0,0,0,0
Lactococcus garvieae UNIUD074,1017266,11,0,1,0,0,0,0,0,0,0,0
Lactococcus lactis subsp. cremoris A76,1104322,5,0,1,0,0,0,0,0,0,0,0
Lactococcus lactis subsp. cremoris MG1363,416870,16,4,1,0,1,0,0,0,0,0,0
Lactococcus lactis subsp. cremoris NZ9000,746361,16,4,1,0,1,0,0,0,0,0,0
Lactococcus lactis subsp. cremoris SK11,272622,12,1,1,0,1,0,0,0,0,0,0
Lactococcus lactis subsp. lactis CV56,929102,7,1,1,0,0,0,0,0,0,0,0
Lactococcus lactis subsp. lactis Il1403,272623,11,1,1,0,0,0,0,0,0,0,0
Lactococcus lactis subsp. lactis KF147,684738,14,1,1,0,1,0,0,0,0,0,0
Lentibacillus sp. Grbi,558169,0,0,0,0,0,0,0,0,0,0,0
Leuconostoc argentinum KCTC 3773,886872,3,0,0,0,0,0,0,0,0,0,0
Leuconostoc carnosum KCTC 3525,1046593,3,0,0,0,0,0,0,0,0,0,0
Leuconostoc citreum KM20,349519,6,0,0,0,0,0,0,0,0,0,0
Leuconostoc citreum LBAE C10,1108974,3,0,0,0,0,0,0,0,0,0,0
Leuconostoc citreum LBAE C11,1127128,5,0,0,0,0,0,0,0,0,0,0
Leuconostoc citreum LBAE E16,1127129,3,0,0,0,0,0,0,0,0,0,0
Leuconostoc fallax KCTC 3537,907931,1,0,0,0,0,0,0,0,0,0,0
Leuconostoc gasicomitatum LMG 18811,762550,5,0,0,0,0,0,0,0,0,0,0
Leuconostoc gelidum KCTC 3527,927691,5,0,0,0,0,0,0,0,0,0,0
Leuconostoc kimchii IMSNU 11154,762051,3,0,0,0,0,0,0,0,0,0,0
Leuconostoc mesenteroides subsp. cremoris ATCC 19254,586220,0,6,0,0,0,0,0,0,0,0,0
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293,203120,4,3,0,0,0,0,0,0,0,0,0
Leuconostoc mesenteroides subsp. mesenteroides J18,1107880,2,1,0,0,0,0,0,0,0,0,0
Leuconostoc sp. C2,979982,2,0,0,0,0,0,0,0,0,0,0
Listeria grayi DSM 20601,525367,11,6,0,0,0,0,0,0,0,0,0
Listeria innocua ATCC 33091,1002366,3,1,1,0,1,0,1,0,0,0,0
Listeria innocua Clip11262,272626,10,3,1,0,1,0,1,0,0,0,0
Listeria ivanovii FSL F6-596,702454,9,7,0,0,0,0,0,0,0,0,0
Listeria ivanovii subsp. ivanovii PAM 55,881621,8,4,2,0,1,0,1,0,0,0,0
Listeria marthii FSL S4-120,702457,6,3,1,0,1,0,0,0,0,0,0
Listeria monocytogenes 08-5578,653938,15,6,1,0,1,0,1,0,0,0,0
Listeria monocytogenes 08-5923,637381,15,6,1,0,1,0,1,0,0,0,0
Listeria monocytogenes 10403S,393133,14,6,1,0,1,0,1,0,0,0,0
Listeria monocytogenes Clip80459,568819,7,2,1,0,1,0,1,0,0,0,0
Listeria monocytogenes EGD-e,169963,15,6,1,0,1,0,1,0,0,0,0
Listeria monocytogenes F6900,393128,15,6,1,0,1,0,1,0,0,0,0
Listeria monocytogenes Finland 1988,393127,16,6,1,0,1,0,1,0,0,0,0
Listeria monocytogenes FSL J1-175,393118,7,1,2,0,1,0,0,0,0,0,0
Listeria monocytogenes FSL J1-194,393117,13,6,1,0,1,0,1,0,0,0,0
Listeria monocytogenes FSL J2-064,393122,6,3,1,0,2,0,0,0,0,0,0
Listeria monocytogenes FSL J2-071,393121,13,6,1,0,1,0,0,0,0,0,0
Listeria monocytogenes FSL N1-017,393123,14,6,1,0,0,0,1,0,0,0,0
Listeria monocytogenes FSL N3-165,393124,8,2,1,0,1,0,1,0,0,0,0
Listeria monocytogenes FSL R2-503,393125,7,2,1,0,1,0,1,0,0,0,0
Listeria monocytogenes FSL R2-561,393126,15,7,1,0,1,0,1,0,0,0,0
Listeria monocytogenes HCC23,552536,11,6,1,0,1,0,1,0,0,0,0
Listeria monocytogenes HPB2262,401650,19,10,1,0,1,0,1,0,0,0,0
Listeria monocytogenes J0161,393130,15,6,1,0,1,0,1,0,0,0,0
Listeria monocytogenes J1-220,930782,9,3,1,0,1,0,1,0,0,0,0
Listeria monocytogenes J1816,930781,10,3,1,0,1,0,1,0,0,0,0
Listeria monocytogenes J2818,393131,15,6,1,0,1,0,1,0,0,0,0
Listeria monocytogenes L99,563174,8,6,1,0,1,0,1,0,0,0,0
Listeria monocytogenes M7,1030009,8,6,1,0,1,0,1,0,0,0,0
Listeria monocytogenes serotype 1/2a str. F6854,267409,15,6,1,0,1,0,1,0,0,0,0
Listeria monocytogenes serotype 4b str. F2365,265669,13,6,1,0,1,0,1,0,0,0,0
Listeria monocytogenes serotype 4b str. H7858,267410,13,7,1,0,1,0,1,0,0,0,0
Listeria monocytogenes str. Scott A,1027396,12,5,1,0,1,0,0,0,0,0,0
Listeria seeligeri serovar 1/2b str. SLCC3954,683837,11,10,0,0,1,0,0,0,0,0,0
Listeria welshimeri serovar 6b str. SLCC5334,386043,11,10,1,0,1,0,0,0,0,0,0
Listeriaceae bacterium TTU M1-001,1081736,4,3,1,0,0,0,0,0,0,0,0
Lysinibacillus fusiformis ZC1,714961,0,0,0,0,0,0,0,0,0,0,0
Lysinibacillus sphaericus C3-41,444177,0,1,3,0,0,0,0,0,0,0,0
Macrococcus caseolyticus JCSC5402,458233,0,1,0,0,0,0,0,0,0,0,0
Mahella australiensis 50-1 BON,697281,0,0,0,0,0,0,0,0,0,0,0
Megamonas funiformis YIT 11815,742816,1,0,0,0,0,0,0,0,0,0,0
Megamonas hypermegale ART12/1,657316,2,1,0,0,0,0,0,0,0,0,0
Megasphaera elsdenii DSM 20460,1064535,1,0,0,0,0,0,0,0,0,0,0
Megasphaera genomosp. type_1 str. 28L,699218,0,0,0,0,0,0,0,0,0,0,0
Megasphaera micronuciformis F0359,706434,0,1,0,0,0,0,0,0,0,0,0
Megasphaera sp. UPII 135-E,1000569,0,0,0,0,0,0,0,0,0,0,0
Megasphaera sp. UPII 199-6,1000568,0,0,0,0,0,0,0,0,0,0,0
Melissococcus plutonius ATCC 35311,940190,2,0,1,0,0,0,0,0,0,0,0
Mitsuokella multacida DSM 20544,500635,2,1,0,0,0,0,0,0,0,0,0
Moorella thermoacetica ATCC 39073,264732,0,0,0,0,0,0,0,0,0,0,0
Natranaerobius thermophilus JW/NM-WN-LF,457570,0,0,0,0,0,0,0,0,0,0,0
Oceanobacillus iheyensis HTE831,221109,4,8,1,0,0,0,0,0,0,0,0
Oenococcus kitaharae DSM 17330,1045004,6,0,0,0,0,0,0,0,0,0,0
Oenococcus oeni ATCC BAA-1163,379360,4,1,0,0,0,0,0,0,0,0,0
Oenococcus oeni AWRIB429,655225,7,1,0,0,0,0,0,0,0,0,0
Oenococcus oeni PSU-1,203123,9,3,0,0,0,0,0,0,0,0,0
Oribacterium sinus F0268,585501,0,0,0,0,0,0,0,0,0,0,0
Oribacterium sp. ACB1,796943,0,0,0,0,0,0,0,0,0,0,0
Oribacterium sp. ACB7,796944,0,1,0,0,0,0,0,0,0,0,0
Oribacterium sp. oral taxon 078 str. F0262,608534,0,3,0,0,0,0,0,0,0,0,0
Oribacterium sp. oral taxon 108 str. F0425,904296,0,0,0,0,0,0,0,0,0,0,0
Ornithinibacillus sp. TW25,981383,5,3,0,0,0,0,0,0,0,0,0
Oscillibacter valericigenes Sjm18-20,693746,0,0,0,0,0,0,0,0,0,0,0
Paenibacillus curdlanolyticus YK9,717606,0,7,2,0,1,0,0,0,0,0,0
Paenibacillus dendritiformis C454,1131935,0,4,4,0,0,0,0,0,0,0,0
Paenibacillus elgii B69,1007103,0,3,1,0,1,0,0,0,0,0,0
Paenibacillus lactis 154,743719,0,8,2,0,0,0,0,0,0,0,0
Paenibacillus larvae subsp. larvae B-3650,741161,0,0,3,0,0,0,0,0,0,0,0
Paenibacillus larvae subsp. larvae BRL-230010,392917,0,0,3,0,0,0,0,0,0,0,0
Paenibacillus mucilaginosus KNP414,1036673,1,4,1,0,0,0,0,0,0,0,0
Paenibacillus peoriae KCTC 3763,1087481,12,4,0,0,0,0,0,0,0,0,0
Paenibacillus polymyxa,1406,6,4,0,0,0,0,0,0,0,0,0
Paenibacillus polymyxa ATCC 842,1036171,12,14,0,0,0,0,0,0,0,0,0
Paenibacillus polymyxa E681,349520,13,6,0,0,0,0,0,0,0,0,0
Paenibacillus polymyxa SC2,886882,12,11,0,0,0,0,0,0,0,0,0
Paenibacillus riograndensis SBR5,1073571,5,7,0,0,0,0,0,0,0,0,0
Paenibacillus sp. Aloe-11,1050222,12,5,0,0,0,0,0,0,0,0,0
Paenibacillus sp. HGF5,908341,0,6,3,0,0,0,0,0,0,0,0
Paenibacillus sp. HGF7,944559,0,2,5,0,0,0,0,0,0,0,0
Paenibacillus sp. JDR-2,324057,0,12,2,0,1,0,0,0,0,0,0
Paenibacillus sp. oral taxon 786 str. D14,621372,0,7,1,0,2,0,0,0,0,0,0
Paenibacillus terrae HPL-003,985665,17,6,0,0,0,0,0,0,0,0,0
Paenibacillus vortex V453,715225,0,12,4,0,0,0,0,0,0,0,0
Parvimonas micra ATCC 33270,411465,0,0,0,0,0,0,0,0,0,0,0
Parvimonas sp. oral taxon 110 str. F0139,767100,0,0,0,0,0,0,0,0,0,0,0
Parvimonas sp. oral taxon 393 str. F0440,944565,1,0,0,0,0,0,0,0,0,0,0
Pediococcus acidilactici 7_4,563194,13,0,1,0,0,0,0,0,0,0,0
Pediococcus acidilactici DSM 20284,862514,13,3,1,0,0,0,0,0,0,0,0
Pediococcus acidilactici MA18/5M,1080365,5,0,1,0,0,0,0,0,0,0,0
Pediococcus claussenii ATCC BAA-344,701521,4,0,0,0,0,0,0,0,0,0,0
Pediococcus pentosaceus ATCC 25745,278197,10,0,0,0,0,0,0,0,0,0,0
Pelotomaculum thermopropionicum SI,370438,0,2,0,0,0,0,0,0,0,0,0
Peptoniphilus duerdenii ATCC BAA-1640,862517,0,0,0,0,0,0,0,0,0,0,0
Peptoniphilus harei ACS-146-V-Sch2b,908338,0,0,0,0,0,0,0,0,0,0,0
Peptoniphilus indolicus ATCC 29427,997350,0,0,0,0,0,0,0,0,0,0,0
Peptoniphilus lacrimalis 315-B,596330,0,0,0,0,0,0,0,0,0,0,0
Peptoniphilus sp. oral taxon 375 str. F0436,879308,0,0,0,0,0,0,0,0,0,0,0
Peptoniphilus sp. oral taxon 386 str. F0131,575609,0,0,0,0,0,0,0,0,0,0,0
Peptoniphilus sp. oral taxon 836 str. F0141,768724,0,0,0,0,0,0,0,0,0,0,0
Peptostreptococcus anaerobius 653-L,596329,1,0,0,0,0,0,0,0,0,0,0
Peptostreptococcus stomatis DSM 17678,596315,0,0,0,0,0,0,0,0,0,0,0
Phascolarctobacterium sp. YIT 12067,626939,0,0,0,0,0,0,0,0,0,0,0
Planococcus donghaensis MPA1U2,933115,2,2,0,0,0,0,0,0,0,0,0
Pseudoramibacter alactolyticus ATCC 23263,887929,0,0,0,0,0,0,0,0,0,0,0
Roseburia hominis A2-183,585394,1,3,0,0,0,0,0,0,0,0,0
Roseburia intestinalis L1-82,536231,0,11,0,0,1,0,0,0,0,0,0
Roseburia intestinalis M50/1,657315,0,8,0,0,1,0,0,0,0,0,0
Roseburia intestinalis XB6B4,718255,0,11,0,0,1,0,0,0,0,0,0
Roseburia inulinivorans DSM 16841,622312,1,25,0,0,0,0,0,0,0,0,0
Ruminococcaceae bacterium D16,552398,0,12,1,0,0,0,0,0,0,0,0
Ruminococcus albus 7,697329,0,2,0,0,0,0,0,0,0,0,0
Ruminococcus albus 8,246199,0,11,0,0,1,0,0,0,0,0,0
Ruminococcus bromii L2-63,657321,0,1,0,0,0,0,0,0,0,0,0
Ruminococcus flavefaciens 17,1030842,0,2,0,0,0,0,0,0,0,0,0
Ruminococcus flavefaciens FD-1,641112,0,6,0,0,0,0,0,0,0,0,0
Ruminococcus gnavus ATCC 29149,411470,10,12,0,0,0,0,0,0,0,0,0
Ruminococcus lactaris ATCC 29176,471875,0,1,0,0,0,0,0,0,0,0,0
Ruminococcus obeum A2-162,657314,0,4,0,0,0,0,0,0,0,0,0
Ruminococcus obeum ATCC 29174,411459,0,3,1,0,0,0,0,0,0,0,0
Ruminococcus sp. 18P13,213810,1,2,0,0,0,0,0,0,0,0,1
Ruminococcus sp. 5_1_39BFAA,457412,2,13,0,0,0,0,0,0,0,0,0
Ruminococcus sp. SR1/5,657323,4,11,0,0,0,0,0,0,0,0,0
