	Cohort	Category	Substrate	Antibiotic	Anaerobic_Type	Stress	Gas_Status	Replicate	ModuleName	ModuleNameRep
DN_stresses_nacetylglucosamine_salt_ae_1_plate0001	DanFunctionalModules2	Stresses	n-acetylglucosamine	NA	NA	salt	aerobic	1	salt_n-acetylglucosamine	salt_n-acetylglucosamine_1
DN_stresses_nacetylglucosamine_salt_ae_4_plate0001	DanFunctionalModules2	Stresses	n-acetylglucosamine	NA	NA	salt	aerobic	2	salt_n-acetylglucosamine	salt_n-acetylglucosamine_2
DN_stresses_nacetylglucosamine_salt_ae_6_plate0001	DanFunctionalModules2	Stresses	n-acetylglucosamine	NA	NA	salt	aerobic	3	salt_n-acetylglucosamine	salt_n-acetylglucosamine_3
DN_stresses_nacetylglucosamine_salt_ae_12_plate0001	DanFunctionalModules2	Stresses	n-acetylglucosamine	NA	NA	salt	aerobic	4	salt_n-acetylglucosamine	salt_n-acetylglucosamine_4
DN_stresses_nacetylglucosamine_salt_ae_13_plate0001	DanFunctionalModules2	Stresses	n-acetylglucosamine	NA	NA	salt	aerobic	5	salt_n-acetylglucosamine	salt_n-acetylglucosamine_5
DN_stresses_nacetylglucosamine_salt_ae_14_plate0001	DanFunctionalModules2	Stresses	n-acetylglucosamine	NA	NA	salt	aerobic	6	salt_n-acetylglucosamine	salt_n-acetylglucosamine_6
DN_stresses_xylan_salt_ae_2_plate0001	DanFunctionalModules2	Stresses	xylan	NA	NA	salt	aerobic	1	salt_xylan	salt_xylan_1
DN_stresses_xylan_salt_ae_7_plate0001	DanFunctionalModules2	Stresses	xylan	NA	NA	salt	aerobic	2	salt_xylan	salt_xylan_2
DN_stresses_xylan_salt_ae_8_plate0001	DanFunctionalModules2	Stresses	xylan	NA	NA	salt	aerobic	3	salt_xylan	salt_xylan_3
DN_stresses_xylan_salt_ae_10_plate0001	DanFunctionalModules2	Stresses	xylan	NA	NA	salt	aerobic	4	salt_xylan	salt_xylan_4
DN_stresses_xylan_salt_ae_12_plate0001	DanFunctionalModules2	Stresses	xylan	NA	NA	salt	aerobic	5	salt_xylan	salt_xylan_5
DN_stresses_xylan_salt_ae_16_plate0001	DanFunctionalModules2	Stresses	xylan	NA	NA	salt	aerobic	6	salt_xylan	salt_xylan_6
DN_stresses_xylose_salt_ae_3_plate0001	DanFunctionalModules2	Stresses	xylose	NA	NA	salt	aerobic	1	salt_xylose	salt_xylose_1
DN_stresses_xylose_salt_ae_4_plate0001	DanFunctionalModules2	Stresses	xylose	NA	NA	salt	aerobic	2	salt_xylose	salt_xylose_2
DN_stresses_xylose_salt_ae_5_plate0001	DanFunctionalModules2	Stresses	xylose	NA	NA	salt	aerobic	3	salt_xylose	salt_xylose_3
DN_stresses_xylose_salt_ae_12_plate0001	DanFunctionalModules2	Stresses	xylose	NA	NA	salt	aerobic	4	salt_xylose	salt_xylose_4
DN_stresses_xylose_salt_ae_15_plate0001	DanFunctionalModules2	Stresses	xylose	NA	NA	salt	aerobic	5	salt_xylose	salt_xylose_5
DN_soilcontrol_soilextract_NA_ae_1_plate0002	DanFunctionalModules2	Soil	soilextract	NA	NA	NA	aerobic	1	soil_control	soil_control_1
DN_soilcontrol_soilextract_NA_ae_10_plate0002	DanFunctionalModules2	Soil	soilextract	NA	NA	NA	aerobic	8	soil_control	soil_control_8
DN_soilcontrol_soilextract_NA_ae_4_plate0002	DanFunctionalModules2	Soil	soilextract	NA	NA	NA	aerobic	2	soil_control	soil_control_2
DN_soilcontrol_soilextract_NA_ae_5_plate0002	DanFunctionalModules2	Soil	soilextract	NA	NA	NA	aerobic	3	soil_control	soil_control_3
DN_soilcontrol_soilextract_NA_ae_6_plate0002	DanFunctionalModules2	Soil	soilextract	NA	NA	NA	aerobic	4	soil_control	soil_control_4
DN_soilcontrol_soilextract_NA_ae_7_plate0002	DanFunctionalModules2	Soil	soilextract	NA	NA	NA	aerobic	5	soil_control	soil_control_5
DN_soilcontrol_soilextract_NA_ae_8_plate0002	DanFunctionalModules2	Soil	soilextract	NA	NA	NA	aerobic	6	soil_control	soil_control_6
DN_soilcontrol_soilextract_NA_ae_9_plate0002	DanFunctionalModules2	Soil	soilextract	NA	NA	NA	aerobic	7	soil_control	soil_control_7
DN_STREP_EARLY_8_31_18_1	DanFunctionalModules1	Antibiotics	glucose	streptomycin	NA	NA	aerobic	1	streptomycin	streptomycin_1
DN_antibiotics_glcwithstreptomycin_NA_ae_10_plate0002	DanFunctionalModules2	Antibiotics	glucose	streptomycin	NA	NA	aerobic	6	streptomycin	streptomycin_6
DN_antibiotics_glcwithstreptomycin_NA_ae_12_plate0002	DanFunctionalModules2	Antibiotics	glucose	streptomycin	NA	NA	aerobic	7	streptomycin	streptomycin_7
DN_antibiotics_glcwithstreptomycin_NA_ae_14_plate0002	DanFunctionalModules2	Antibiotics	glucose	streptomycin	NA	NA	aerobic	8	streptomycin	streptomycin_8
DN_antibiotics_glcwithstreptomycin_NA_ae_15_plate0002	DanFunctionalModules2	Antibiotics	glucose	streptomycin	NA	NA	aerobic	9	streptomycin	streptomycin_9
DN_STREP_EARLY_8_31_18_2	DanFunctionalModules1	Antibiotics	glucose	streptomycin	NA	NA	aerobic	2	streptomycin	streptomycin_2
DN_STREP_EARLY_8_31_18_3	DanFunctionalModules1	Antibiotics	glucose	streptomycin	NA	NA	aerobic	3	streptomycin	streptomycin_3
DN_STREP_EARLY_8_31_18_4	DanFunctionalModules1	Antibiotics	glucose	streptomycin	NA	NA	aerobic	4	streptomycin	streptomycin_4
DN_STREP_EARLY_8_31_18_5	DanFunctionalModules1	Antibiotics	glucose	streptomycin	NA	NA	aerobic	5	streptomycin	streptomycin_5
DN_SUC_10E3_7_23_18_1	DanFunctionalModules1	Polysaccharides	sucrose	NA	NA	NA	aerobic	1	sucrose	sucrose_1
DN_SUC_10E3_7_23_18_2	DanFunctionalModules1	Polysaccharides	sucrose	NA	NA	NA	aerobic	2	sucrose	sucrose_2
DN_SUC_10E3_7_23_18_3	DanFunctionalModules1	Polysaccharides	sucrose	NA	NA	NA	aerobic	3	sucrose	sucrose_3
DN_SUC_10E3_7_23_18_4	DanFunctionalModules1	Polysaccharides	sucrose	NA	NA	NA	aerobic	4	sucrose	sucrose_4
DN_SUC_10E3_7_23_18_5	DanFunctionalModules1	Polysaccharides	sucrose	NA	NA	NA	aerobic	5	sucrose	sucrose_5
DN_antibiotics_glc_postetracycline_ae_1_B	DanFunctionalModules1	Antibiotics	glucose	tetracycline	NA	NA	aerobic	1	tetracycline	tetracycline_1
DN_antibiotics_glc_postetracycline_ae_2_B	DanFunctionalModules1	Antibiotics	glucose	tetracycline	NA	NA	aerobic	2	tetracycline	tetracycline_2
DN_antibiotics_glc_postetracycline_ae_3_B	DanFunctionalModules1	Antibiotics	glucose	tetracycline	NA	NA	aerobic	3	tetracycline	tetracycline_3
DN_antibiotics_glc_postetracycline_ae_4_B	DanFunctionalModules1	Antibiotics	glucose	tetracycline	NA	NA	aerobic	4	tetracycline	tetracycline_4
DN_antibiotics_glc_postetracycline_ae_5_B	DanFunctionalModules1	Antibiotics	glucose	tetracycline	NA	NA	aerobic	5	tetracycline	tetracycline_5
DN_plantsugars_trehalose_ae_1_B	DanFunctionalModules1	Polysaccharides	trehalose	NA	NA	NA	aerobic	1	trehalose	trehalose_1
DN_plantsugars_trehalose_ae_2_B	DanFunctionalModules1	Polysaccharides	trehalose	NA	NA	NA	aerobic	2	trehalose	trehalose_2
DN_simplesugar_trehalose_NA_ae_21_plate0002	DanFunctionalModules2	Polysaccharides	trehalose	NA	NA	NA	aerobic	6	trehalose	trehalose_6
DN_simplesugar_trehalose_NA_ae_23_plate0002	DanFunctionalModules2	Polysaccharides	trehalose	NA	NA	NA	aerobic	7	trehalose	trehalose_7
DN_plantsugars_trehalose_ae_3_B	DanFunctionalModules1	Polysaccharides	trehalose	NA	NA	NA	aerobic	3	trehalose	trehalose_3
DN_plantsugars_trehalose_ae_4_B	DanFunctionalModules1	Polysaccharides	trehalose	NA	NA	NA	aerobic	4	trehalose	trehalose_4
DN_plantsugars_trehalose_ae_5_B	DanFunctionalModules1	Polysaccharides	trehalose	NA	NA	NA	aerobic	5	trehalose	trehalose_5
DN_plantsugars_xylan_ae_2_B	DanFunctionalModules1	Polysaccharides	xylan	NA	NA	control	aerobic	1	xylan	xylan_1
DN_polysaccharide_xylan_NA_ae_11_plate0002	DanFunctionalModules2	Polysaccharides	xylan	NA	NA	control	aerobic	5	xylan	xylan_5
DN_polysaccharide_xylan_NA_ae_13_plate0002	DanFunctionalModules2	Polysaccharides	xylan	NA	NA	control	aerobic	6	xylan	xylan_6
DN_polysaccharide_xylan_NA_ae_15_plate0002	DanFunctionalModules2	Polysaccharides	xylan	NA	NA	control	aerobic	7	xylan	xylan_7
DN_polysaccharide_xylan_NA_ae_16_plate0002	DanFunctionalModules2	Polysaccharides	xylan	NA	NA	control	aerobic	8	xylan	xylan_8
DN_polysaccharide_xylan_NA_ae_17_plate0002	DanFunctionalModules2	Polysaccharides	xylan	NA	NA	control	aerobic	9	xylan	xylan_9
DN_plantsugars_xylan_ae_3_B	DanFunctionalModules1	Polysaccharides	xylan	NA	NA	control	aerobic	2	xylan	xylan_2
DN_plantsugars_xylan_ae_4_B	DanFunctionalModules1	Polysaccharides	xylan	NA	NA	control	aerobic	3	xylan	xylan_3
DN_plantsugars_xylan_ae_5_B	DanFunctionalModules1	Polysaccharides	xylan	NA	NA	control	aerobic	4	xylan	xylan_4
DN_plantsugars_xylose_ae_1_B	DanFunctionalModules1	Simple Substrates	xylose	NA	NA	control	aerobic	1	xylose	xylose_1
DN_simplesugar_xylose_NA_ae_13_plate0002	DanFunctionalModules2	Simple Substrates	xylose	NA	NA	control	aerobic	5	xylose	xylose_5
DN_simplesugar_xylose_NA_ae_16_plate0002	DanFunctionalModules2	Simple Substrates	xylose	NA	NA	control	aerobic	6	xylose	xylose_6
DN_simplesugar_xylose_NA_ae_17_plate0002	DanFunctionalModules2	Simple Substrates	xylose	NA	NA	control	aerobic	7	xylose	xylose_7
DN_plantsugars_xylose_ae_2_B	DanFunctionalModules1	Simple Substrates	xylose	NA	NA	control	aerobic	2	xylose	xylose_2
DN_plantsugars_xylose_ae_3_B	DanFunctionalModules1	Simple Substrates	xylose	NA	NA	control	aerobic	3	xylose	xylose_3
DN_plantsugars_xylose_ae_4_B	DanFunctionalModules1	Simple Substrates	xylose	NA	NA	control	aerobic	4	xylose	xylose_4
